customer_id,country,signup_date,last_observed_date,source_system,is_simulated,simulation_version
C12374,Austria,2011-11-14 15:37:00,2011-11-14 15:37:00,UCI Online Retail,False,
C12375,Finland,2011-09-02 14:23:00,2011-12-07 11:27:00,UCI Online Retail,False,
C12377,Switzerland,2010-12-20 09:37:00,2011-01-28 15:45:00,UCI Online Retail,False,
C12378,Switzerland,2011-08-02 10:34:00,2011-08-02 10:34:00,UCI Online Retail,False,
C12379,Belgium,2011-06-22 16:32:00,2011-09-19 10:09:00,UCI Online Retail,False,
C12380,Belgium,2011-06-07 09:49:00,2011-11-18 11:27:00,UCI Online Retail,False,
C12381,Norway,2011-08-12 09:57:00,2011-12-05 12:44:00,UCI Online Retail,False,
C12383,Belgium,2010-12-22 14:28:00,2011-06-08 08:02:00,UCI Online Retail,False,
C12384,Switzerland,2011-08-10 11:23:00,2011-11-11 08:39:00,UCI Online Retail,False,
C12386,Australia,2010-12-08 09:53:00,2011-01-06 12:37:00,UCI Online Retail,False,
C12388,Australia,2011-01-17 11:12:00,2011-11-24 12:30:00,UCI Online Retail,False,
C12390,Belgium,2011-09-21 09:33:00,2011-09-21 09:33:00,UCI Online Retail,False,
C12391,Cyprus,2011-11-18 12:07:00,2011-11-18 12:07:00,UCI Online Retail,False,
C12393,Australia,2011-01-11 09:47:00,2011-09-28 15:41:00,UCI Online Retail,False,
C12394,Belgium,2011-05-06 14:01:00,2011-10-07 08:08:00,UCI Online Retail,False,
C12395,Belgium,2010-12-03 16:35:00,2011-11-24 12:20:00,UCI Online Retail,False,
C12397,Belgium,2011-07-27 14:21:00,2011-11-04 09:52:00,UCI Online Retail,False,
C12398,Switzerland,2011-10-25 10:27:00,2011-10-25 10:27:00,UCI Online Retail,False,
C12399,Belgium,2011-03-23 09:42:00,2011-08-12 13:15:00,UCI Online Retail,False,
C12401,Belgium,2011-02-09 13:50:00,2011-02-09 13:50:00,UCI Online Retail,False,
C12402,Belgium,2011-01-20 13:49:00,2011-01-20 13:49:00,UCI Online Retail,False,
C12403,Denmark,2011-10-21 10:51:00,2011-10-21 11:00:00,UCI Online Retail,False,
C12405,Finland,2011-07-14 08:52:00,2011-07-14 08:52:00,UCI Online Retail,False,
C12406,Denmark,2011-06-09 10:23:00,2011-11-17 19:22:00,UCI Online Retail,False,
C12407,Belgium,2011-03-20 13:21:00,2011-10-21 10:11:00,UCI Online Retail,False,
C12408,Belgium,2011-03-24 14:46:00,2011-11-07 12:30:00,UCI Online Retail,False,
C12409,Switzerland,2011-06-10 12:19:00,2011-09-22 10:38:00,UCI Online Retail,False,
C12410,Switzerland,2011-02-04 10:38:00,2011-02-11 15:47:00,UCI Online Retail,False,
C12412,Denmark,2011-06-23 13:51:00,2011-09-26 10:16:00,UCI Online Retail,False,
C12413,France,2011-01-06 16:12:00,2011-10-04 09:00:00,UCI Online Retail,False,
C12414,Austria,2011-02-02 14:51:00,2011-05-06 14:51:00,UCI Online Retail,False,
C12415,Australia,2011-01-06 11:12:00,2011-11-15 14:22:00,UCI Online Retail,False,
C12417,Belgium,2010-12-17 11:51:00,2011-12-06 14:52:00,UCI Online Retail,False,
C12418,Switzerland,2011-08-19 11:08:00,2011-08-19 11:08:00,UCI Online Retail,False,
C12420,Cyprus,2011-10-07 08:55:00,2011-10-07 08:55:00,UCI Online Retail,False,
C12421,Spain,2011-01-24 15:09:00,2011-11-24 09:07:00,UCI Online Retail,False,
C12422,Australia,2011-01-19 09:13:00,2011-09-05 09:48:00,UCI Online Retail,False,
C12423,Belgium,2010-12-21 10:54:00,2011-12-09 10:10:00,UCI Online Retail,False,
C12424,Australia,2011-06-30 12:06:00,2011-06-30 12:06:00,UCI Online Retail,False,
C12425,Portugal,2011-09-22 17:31:00,2011-09-22 17:31:00,UCI Online Retail,False,
C12426,Germany,2011-05-29 12:26:00,2011-05-29 12:26:00,UCI Online Retail,False,
C12427,Germany,2010-12-03 10:44:00,2011-11-28 10:48:00,UCI Online Retail,False,
C12428,Finland,2011-03-01 09:33:00,2011-11-14 08:22:00,UCI Online Retail,False,
C12429,Denmark,2010-12-09 12:05:00,2011-11-30 17:22:00,UCI Online Retail,False,
C12430,Norway,2011-10-27 15:09:00,2011-10-27 15:09:00,UCI Online Retail,False,
C12431,Australia,2010-12-01 10:03:00,2011-11-04 11:55:00,UCI Online Retail,False,
C12432,Norway,2011-06-20 13:27:00,2011-10-28 11:43:00,UCI Online Retail,False,
C12433,Norway,2010-12-01 13:24:00,2011-12-09 10:02:00,UCI Online Retail,False,
C12434,Australia,2010-12-14 11:12:00,2011-09-16 12:38:00,UCI Online Retail,False,
C12435,Denmark,2011-03-17 07:40:00,2011-09-21 09:06:00,UCI Online Retail,False,
C12436,Norway,2011-09-01 12:09:00,2011-09-01 12:09:00,UCI Online Retail,False,
C12437,France,2011-01-12 14:13:00,2011-12-08 11:35:00,UCI Online Retail,False,
C12438,Norway,2011-07-22 13:29:00,2011-11-25 13:28:00,UCI Online Retail,False,
C12441,France,2010-12-08 10:45:00,2010-12-08 10:45:00,UCI Online Retail,False,
C12442,Spain,2011-12-06 14:22:00,2011-12-06 14:22:00,UCI Online Retail,False,
C12444,Norway,2011-06-21 14:00:00,2011-11-18 13:23:00,UCI Online Retail,False,
C12445,Spain,2011-11-17 18:43:00,2011-11-17 18:43:00,UCI Online Retail,False,
C12446,RSA,2011-10-13 12:50:00,2011-10-13 12:50:00,UCI Online Retail,False,
C12447,Belgium,2011-04-10 13:25:00,2011-04-10 13:25:00,UCI Online Retail,False,
C12448,Spain,2011-10-26 13:46:00,2011-10-26 13:46:00,UCI Online Retail,False,
C12449,Belgium,2011-06-05 15:37:00,2011-11-17 13:46:00,UCI Online Retail,False,
C12450,Spain,2011-06-19 14:36:00,2011-07-06 14:41:00,UCI Online Retail,False,
C12451,Switzerland,2011-01-19 09:05:00,2011-11-29 08:40:00,UCI Online Retail,False,
C12452,Switzerland,2011-11-23 08:05:00,2011-11-23 10:28:00,UCI Online Retail,False,
C12453,Austria,2011-07-28 14:08:00,2011-07-28 14:08:00,UCI Online Retail,False,
C12454,Spain,2011-10-14 17:13:00,2011-10-17 15:07:00,UCI Online Retail,False,
C12455,Spain,2011-02-16 09:56:00,2011-09-27 15:31:00,UCI Online Retail,False,
C12456,Switzerland,2011-03-30 09:12:00,2011-10-26 14:41:00,UCI Online Retail,False,
C12457,Switzerland,2011-04-14 18:57:00,2011-10-12 13:46:00,UCI Online Retail,False,
C12458,Switzerland,2011-02-28 10:55:00,2011-09-29 15:25:00,UCI Online Retail,False,
C12461,Switzerland,2011-07-08 10:23:00,2011-09-06 16:57:00,UCI Online Retail,False,
C12462,Spain,2011-02-09 14:44:00,2011-12-07 14:02:00,UCI Online Retail,False,
C12463,Belgium,2011-04-12 12:47:00,2011-10-24 13:43:00,UCI Online Retail,False,
C12464,Belgium,2011-02-03 13:30:00,2011-11-29 13:33:00,UCI Online Retail,False,
C12465,Belgium,2011-06-23 13:37:00,2011-12-02 11:34:00,UCI Online Retail,False,
C12468,Germany,2011-01-27 13:29:00,2011-07-19 13:42:00,UCI Online Retail,False,
C12471,Germany,2010-12-02 10:37:00,2011-12-07 15:43:00,UCI Online Retail,False,
C12472,Germany,2010-12-01 14:33:00,2011-11-09 11:33:00,UCI Online Retail,False,
C12473,Germany,2011-06-01 10:15:00,2011-11-10 13:48:00,UCI Online Retail,False,
C12474,Germany,2010-12-06 12:00:00,2011-11-22 14:39:00,UCI Online Retail,False,
C12475,Germany,2011-10-17 10:10:00,2011-10-17 10:10:00,UCI Online Retail,False,
C12476,Germany,2010-12-13 14:37:00,2011-12-08 14:08:00,UCI Online Retail,False,
C12477,Germany,2011-02-01 11:09:00,2011-11-17 09:51:00,UCI Online Retail,False,
C12478,Greece,2011-12-06 09:56:00,2011-12-06 09:56:00,UCI Online Retail,False,
C12479,Germany,2011-11-28 13:26:00,2011-12-06 09:25:00,UCI Online Retail,False,
C12480,Germany,2011-01-07 15:27:00,2011-11-11 14:52:00,UCI Online Retail,False,
C12481,Germany,2010-12-09 10:13:00,2011-11-17 08:29:00,UCI Online Retail,False,
C12483,Sweden,2011-01-04 14:20:00,2011-11-22 17:03:00,UCI Online Retail,False,
C12484,Spain,2011-01-07 14:04:00,2011-11-07 11:37:00,UCI Online Retail,False,
C12488,France,2011-09-25 10:34:00,2011-11-30 08:50:00,UCI Online Retail,False,
C12489,France,2011-01-07 13:13:00,2011-01-07 13:13:00,UCI Online Retail,False,
C12490,France,2011-01-14 09:13:00,2011-12-04 16:07:00,UCI Online Retail,False,
C12491,France,2011-11-01 12:18:00,2011-11-01 12:18:00,UCI Online Retail,False,
C12492,Germany,2011-08-26 14:51:00,2011-10-07 15:15:00,UCI Online Retail,False,
C12493,France,2011-05-26 14:53:00,2011-06-27 10:17:00,UCI Online Retail,False,
C12494,France,2010-12-09 11:31:00,2011-11-30 09:21:00,UCI Online Retail,False,
C12497,Germany,2011-09-19 12:29:00,2011-09-19 12:29:00,UCI Online Retail,False,
C12498,Germany,2011-10-13 09:30:00,2011-11-18 12:53:00,UCI Online Retail,False,
C12500,Germany,2011-01-10 09:48:00,2011-11-16 16:20:00,UCI Online Retail,False,
C12501,Germany,2011-01-07 12:28:00,2011-01-28 13:54:00,UCI Online Retail,False,
C12502,Spain,2011-02-03 10:41:00,2011-09-05 11:52:00,UCI Online Retail,False,
C12503,Spain,2011-01-06 11:51:00,2011-01-06 11:51:00,UCI Online Retail,False,
C12504,Germany,2011-11-09 14:56:00,2011-11-21 16:02:00,UCI Online Retail,False,
C12505,Italy,2011-02-11 13:39:00,2011-02-11 13:39:00,UCI Online Retail,False,
C12506,France,2011-04-21 08:54:00,2011-04-21 08:54:00,UCI Online Retail,False,
C12507,Spain,2011-02-14 09:24:00,2011-07-28 17:09:00,UCI Online Retail,False,
C12508,France,2011-11-10 16:27:00,2011-11-13 15:37:00,UCI Online Retail,False,
C12509,France,2011-02-28 14:45:00,2011-02-28 14:45:00,UCI Online Retail,False,
C12510,Spain,2011-01-18 14:04:00,2011-07-20 10:15:00,UCI Online Retail,False,
C12512,Israel,2011-10-04 14:53:00,2011-10-04 14:55:00,UCI Online Retail,False,
C12513,France,2011-08-19 10:51:00,2011-09-16 12:45:00,UCI Online Retail,False,
C12514,Italy,2011-03-17 16:38:00,2011-03-17 16:38:00,UCI Online Retail,False,
C12515,Italy,2010-12-21 15:43:00,2010-12-21 15:43:00,UCI Online Retail,False,
C12516,Germany,2011-06-12 11:37:00,2011-09-23 09:13:00,UCI Online Retail,False,
C12517,Germany,2011-06-02 15:13:00,2011-11-11 14:04:00,UCI Online Retail,False,
C12518,Germany,2011-08-21 13:18:00,2011-12-09 10:13:00,UCI Online Retail,False,
C12519,Germany,2011-10-07 09:26:00,2011-10-07 09:26:00,UCI Online Retail,False,
C12520,Germany,2011-03-11 11:35:00,2011-09-21 15:23:00,UCI Online Retail,False,
C12521,Germany,2011-07-20 10:51:00,2011-07-20 10:51:00,UCI Online Retail,False,
C12522,Germany,2011-10-19 14:41:00,2011-10-31 15:30:00,UCI Online Retail,False,
C12523,France,2011-01-12 09:43:00,2011-12-08 11:46:00,UCI Online Retail,False,
C12524,Germany,2011-01-10 10:35:00,2011-11-30 15:31:00,UCI Online Retail,False,
C12526,Germany,2011-09-06 14:19:00,2011-12-09 12:09:00,UCI Online Retail,False,
C12527,Germany,2011-01-18 12:05:00,2011-09-19 11:55:00,UCI Online Retail,False,
C12528,Germany,2011-01-31 09:05:00,2011-11-30 14:40:00,UCI Online Retail,False,
C12530,Germany,2011-01-07 10:04:00,2011-10-11 12:34:00,UCI Online Retail,False,
C12531,Germany,2011-11-25 11:12:00,2011-11-25 11:12:00,UCI Online Retail,False,
C12532,France,2011-11-09 13:47:00,2011-11-09 13:47:00,UCI Online Retail,False,
C12534,Germany,2011-08-01 10:26:00,2011-08-01 10:26:00,UCI Online Retail,False,
C12535,France,2011-06-06 12:47:00,2011-09-09 08:48:00,UCI Online Retail,False,
C12536,France,2011-10-11 14:52:00,2011-12-02 12:43:00,UCI Online Retail,False,
C12538,Spain,2011-11-10 17:16:00,2011-11-10 17:16:00,UCI Online Retail,False,
C12539,Spain,2011-01-10 09:11:00,2011-11-17 13:30:00,UCI Online Retail,False,
C12540,Spain,2010-12-13 09:39:00,2011-11-20 11:31:00,UCI Online Retail,False,
C12541,Spain,2011-03-04 09:32:00,2011-11-10 10:40:00,UCI Online Retail,False,
C12544,Spain,2011-11-03 16:15:00,2011-11-10 11:12:00,UCI Online Retail,False,
C12545,Spain,2011-03-25 12:04:00,2011-09-25 13:39:00,UCI Online Retail,False,
C12546,Spain,2011-09-23 09:44:00,2011-10-24 12:09:00,UCI Online Retail,False,
C12547,Spain,2011-03-04 12:46:00,2011-05-26 12:38:00,UCI Online Retail,False,
C12548,Spain,2011-06-26 15:35:00,2011-06-26 15:35:00,UCI Online Retail,False,
C12550,Spain,2011-09-21 14:35:00,2011-09-21 14:35:00,UCI Online Retail,False,
C12551,Spain,2010-12-17 11:23:00,2010-12-17 11:23:00,UCI Online Retail,False,
C12552,Italy,2011-10-31 12:11:00,2011-11-01 10:02:00,UCI Online Retail,False,
C12553,France,2011-01-14 10:42:00,2011-12-01 16:38:00,UCI Online Retail,False,
C12556,Spain,2011-07-11 13:35:00,2011-10-20 13:06:00,UCI Online Retail,False,
C12557,Spain,2010-12-03 12:20:00,2011-11-23 16:59:00,UCI Online Retail,False,
C12558,USA,2011-12-02 10:41:00,2011-12-08 10:14:00,UCI Online Retail,False,
C12559,Germany,2011-01-24 10:12:00,2011-02-02 09:49:00,UCI Online Retail,False,
C12560,Germany,2011-07-19 15:55:00,2011-12-04 13:54:00,UCI Online Retail,False,
C12561,Germany,2011-02-10 11:39:00,2011-02-10 11:39:00,UCI Online Retail,False,
C12562,France,2011-05-25 12:44:00,2011-12-01 17:20:00,UCI Online Retail,False,
C12564,France,2011-03-23 14:55:00,2011-03-23 14:55:00,UCI Online Retail,False,
C12565,Saudi Arabia,2011-02-24 10:34:00,2011-03-03 11:43:00,UCI Online Retail,False,
C12566,Germany,2011-09-14 14:30:00,2011-09-28 09:57:00,UCI Online Retail,False,
C12567,France,2010-12-05 11:57:00,2011-11-17 11:02:00,UCI Online Retail,False,
C12569,Germany,2011-04-01 13:47:00,2011-12-07 16:24:00,UCI Online Retail,False,
C12571,France,2011-08-10 12:35:00,2011-10-31 10:19:00,UCI Online Retail,False,
C12572,Germany,2011-10-19 08:20:00,2011-12-01 09:20:00,UCI Online Retail,False,
C12573,France,2011-04-26 15:52:00,2011-04-26 15:52:00,UCI Online Retail,False,
C12574,France,2011-01-28 09:20:00,2011-01-28 09:20:00,UCI Online Retail,False,
C12576,Poland,2011-02-08 11:31:00,2011-11-04 10:11:00,UCI Online Retail,False,
C12577,France,2010-12-15 16:21:00,2011-11-04 13:28:00,UCI Online Retail,False,
C12578,Italy,2011-01-05 10:46:00,2011-11-18 13:30:00,UCI Online Retail,False,
C12579,France,2011-09-22 17:15:00,2011-09-27 13:57:00,UCI Online Retail,False,
C12580,Germany,2011-04-07 10:24:00,2011-04-07 10:24:00,UCI Online Retail,False,
C12581,Germany,2011-10-31 08:56:00,2011-10-31 08:56:00,UCI Online Retail,False,
C12582,Finland,2011-02-24 11:42:00,2011-04-15 08:45:00,UCI Online Retail,False,
C12583,France,2010-12-01 08:45:00,2011-12-07 08:07:00,UCI Online Retail,False,
C12584,Italy,2011-03-04 15:15:00,2011-12-06 09:35:00,UCI Online Retail,False,
C12585,Germany,2010-12-23 12:58:00,2011-04-19 13:39:00,UCI Online Retail,False,
C12586,Italy,2010-12-06 09:31:00,2011-11-22 16:24:00,UCI Online Retail,False,
C12587,Finland,2011-12-02 12:47:00,2011-12-02 12:47:00,UCI Online Retail,False,
C12588,Finland,2011-10-31 15:01:00,2011-10-31 15:01:00,UCI Online Retail,False,
C12589,France,2011-07-18 12:05:00,2011-11-11 10:19:00,UCI Online Retail,False,
C12590,Germany,2011-05-12 14:46:00,2011-06-02 14:25:00,UCI Online Retail,False,
C12591,Italy,2011-01-26 14:35:00,2011-01-26 14:35:00,UCI Online Retail,False,
C12592,Germany,2011-05-10 13:44:00,2011-09-08 15:04:00,UCI Online Retail,False,
C12593,France,2011-05-05 09:29:00,2011-08-23 12:43:00,UCI Online Retail,False,
C12594,Italy,2011-01-21 09:52:00,2011-11-02 12:20:00,UCI Online Retail,False,
C12596,Spain,2011-04-11 13:22:00,2011-10-19 13:02:00,UCI Online Retail,False,
C12597,Spain,2011-03-16 14:00:00,2011-11-20 13:33:00,UCI Online Retail,False,
C12598,France,2011-02-28 11:58:00,2011-11-30 12:18:00,UCI Online Retail,False,
C12599,France,2011-02-08 13:28:00,2011-11-10 13:34:00,UCI Online Retail,False,
C12600,Germany,2010-12-03 12:57:00,2011-11-11 10:29:00,UCI Online Retail,False,
C12601,Germany,2011-01-11 10:38:00,2011-06-03 10:17:00,UCI Online Retail,False,
C12602,France,2011-10-12 11:22:00,2011-10-12 11:22:00,UCI Online Retail,False,
C12603,Germany,2011-11-18 10:42:00,2011-11-18 10:42:00,UCI Online Retail,False,
C12604,France,2011-03-23 12:06:00,2011-09-21 14:08:00,UCI Online Retail,False,
C12605,Germany,2010-12-09 15:41:00,2010-12-09 15:41:00,UCI Online Retail,False,
C12607,USA,2011-10-10 16:06:00,2011-10-12 16:17:00,UCI Online Retail,False,
C12609,Germany,2011-01-25 15:13:00,2011-09-22 16:34:00,UCI Online Retail,False,
C12610,Italy,2011-08-05 13:52:00,2011-11-17 09:34:00,UCI Online Retail,False,
C12611,Italy,2011-10-18 13:12:00,2011-10-18 13:12:00,UCI Online Retail,False,
C12612,Germany,2011-09-26 15:35:00,2011-10-13 12:12:00,UCI Online Retail,False,
C12613,Germany,2011-03-22 15:42:00,2011-11-08 13:30:00,UCI Online Retail,False,
C12614,Germany,2011-03-07 10:22:00,2011-03-07 10:22:00,UCI Online Retail,False,
C12615,France,2011-06-24 13:35:00,2011-12-07 15:02:00,UCI Online Retail,False,
C12616,France,2011-02-15 14:17:00,2011-09-15 17:02:00,UCI Online Retail,False,
C12617,France,2011-11-10 14:39:00,2011-11-10 14:39:00,UCI Online Retail,False,
C12618,Italy,2011-11-18 11:10:00,2011-11-18 11:10:00,UCI Online Retail,False,
C12619,Germany,2011-03-31 13:10:00,2011-11-23 14:52:00,UCI Online Retail,False,
C12620,France,2011-05-19 12:10:00,2011-11-25 10:20:00,UCI Online Retail,False,
C12621,Germany,2010-12-09 10:16:00,2011-12-08 11:25:00,UCI Online Retail,False,
C12622,Germany,2011-04-21 16:39:00,2011-04-21 16:39:00,UCI Online Retail,False,
C12623,Germany,2011-03-08 13:50:00,2011-03-08 13:50:00,UCI Online Retail,False,
C12624,France,2011-06-15 12:34:00,2011-08-25 15:04:00,UCI Online Retail,False,
C12625,Germany,2011-01-24 13:27:00,2011-05-12 09:54:00,UCI Online Retail,False,
C12626,Germany,2011-01-17 11:01:00,2011-11-16 16:06:00,UCI Online Retail,False,
C12627,Germany,2011-07-22 13:59:00,2011-11-29 12:07:00,UCI Online Retail,False,
C12628,Germany,2011-10-06 09:28:00,2011-12-05 13:15:00,UCI Online Retail,False,
C12630,Finland,2011-10-27 10:41:00,2011-11-30 10:48:00,UCI Online Retail,False,
C12631,Finland,2011-10-13 13:53:00,2011-10-13 13:53:00,UCI Online Retail,False,
C12633,Germany,2011-02-25 08:44:00,2011-10-12 11:40:00,UCI Online Retail,False,
C12635,Germany,2011-07-08 08:43:00,2011-09-11 11:04:00,UCI Online Retail,False,
C12637,France,2011-01-20 10:47:00,2011-10-03 13:46:00,UCI Online Retail,False,
C12638,Sweden,2011-11-06 13:11:00,2011-11-06 13:11:00,UCI Online Retail,False,
C12639,Sweden,2011-04-15 12:48:00,2011-04-15 12:48:00,UCI Online Retail,False,
C12640,France,2011-09-19 12:01:00,2011-11-16 11:52:00,UCI Online Retail,False,
C12641,Sweden,2011-08-16 13:26:00,2011-08-16 13:26:00,UCI Online Retail,False,
C12642,Germany,2011-08-24 09:23:00,2011-11-14 15:03:00,UCI Online Retail,False,
C12643,France,2011-01-11 11:48:00,2011-08-03 12:56:00,UCI Online Retail,False,
C12644,Germany,2011-08-02 10:33:00,2011-08-02 10:33:00,UCI Online Retail,False,
C12645,Germany,2011-01-27 13:08:00,2011-11-06 12:38:00,UCI Online Retail,False,
C12646,USA,2011-10-21 12:52:00,2011-12-05 10:14:00,UCI Online Retail,False,
C12647,Germany,2010-12-05 14:02:00,2011-11-17 12:56:00,UCI Online Retail,False,
C12648,Germany,2011-07-08 11:55:00,2011-07-08 11:55:00,UCI Online Retail,False,
C12649,Germany,2010-12-09 14:42:00,2011-08-24 14:41:00,UCI Online Retail,False,
C12650,France,2011-12-06 16:34:00,2011-12-06 16:34:00,UCI Online Retail,False,
C12651,France,2011-01-09 12:46:00,2011-01-09 12:46:00,UCI Online Retail,False,
C12652,France,2011-01-12 15:00:00,2011-01-21 17:01:00,UCI Online Retail,False,
C12653,Israel,2011-02-16 10:53:00,2011-07-14 10:41:00,UCI Online Retail,False,
C12654,Germany,2011-02-17 13:16:00,2011-11-29 10:10:00,UCI Online Retail,False,
C12656,France,2011-04-11 09:45:00,2011-11-22 13:42:00,UCI Online Retail,False,
C12657,France,2011-09-22 11:40:00,2011-11-28 15:47:00,UCI Online Retail,False,
C12658,Germany,2011-11-21 10:22:00,2011-11-21 10:22:00,UCI Online Retail,False,
C12659,France,2011-11-10 11:53:00,2011-11-10 11:53:00,UCI Online Retail,False,
C12660,France,2011-11-28 13:26:00,2011-11-28 13:26:00,UCI Online Retail,False,
C12662,Germany,2010-12-01 13:04:00,2011-12-09 11:59:00,UCI Online Retail,False,
C12664,Finland,2011-01-21 11:42:00,2011-12-01 17:07:00,UCI Online Retail,False,
C12665,Germany,2011-01-12 09:41:00,2011-01-19 08:34:00,UCI Online Retail,False,
C12666,Israel,2010-12-15 14:42:00,2010-12-15 14:42:00,UCI Online Retail,False,
C12667,Finland,2011-10-12 17:00:00,2011-10-12 17:00:00,UCI Online Retail,False,
C12668,Germany,2010-12-19 12:46:00,2011-12-02 15:10:00,UCI Online Retail,False,
C12669,France,2011-03-28 10:15:00,2011-07-12 09:54:00,UCI Online Retail,False,
C12670,France,2011-04-21 10:16:00,2011-11-29 15:23:00,UCI Online Retail,False,
C12672,France,2011-01-14 09:20:00,2011-01-14 09:20:00,UCI Online Retail,False,
C12673,Germany,2011-01-17 11:46:00,2011-12-04 13:55:00,UCI Online Retail,False,
C12674,France,2011-05-16 09:10:00,2011-11-28 12:22:00,UCI Online Retail,False,
C12676,Sweden,2011-02-01 15:41:00,2011-11-15 12:25:00,UCI Online Retail,False,
C12678,France,2010-12-21 11:00:00,2011-10-28 13:04:00,UCI Online Retail,False,
C12679,France,2011-03-01 12:26:00,2011-10-18 13:43:00,UCI Online Retail,False,
C12680,France,2011-08-18 15:44:00,2011-12-09 12:50:00,UCI Online Retail,False,
C12681,France,2010-12-07 10:08:00,2011-11-25 11:35:00,UCI Online Retail,False,
C12682,France,2010-12-03 13:59:00,2011-12-06 10:00:00,UCI Online Retail,False,
C12683,France,2010-12-09 10:37:00,2011-12-05 16:31:00,UCI Online Retail,False,
C12684,France,2011-05-10 12:55:00,2011-12-02 09:53:00,UCI Online Retail,False,
C12685,France,2011-09-07 10:28:00,2011-11-11 13:46:00,UCI Online Retail,False,
C12686,France,2010-12-03 09:51:00,2010-12-03 09:51:00,UCI Online Retail,False,
C12688,Israel,2011-08-18 08:49:00,2011-08-18 08:49:00,UCI Online Retail,False,
C12689,France,2011-08-04 10:04:00,2011-11-14 08:31:00,UCI Online Retail,False,
C12690,France,2011-05-18 09:09:00,2011-05-18 09:09:00,UCI Online Retail,False,
C12691,France,2010-12-17 14:46:00,2011-11-11 16:49:00,UCI Online Retail,False,
C12693,Germany,2011-01-24 12:58:00,2011-08-11 09:16:00,UCI Online Retail,False,
C12694,France,2011-06-09 17:48:00,2011-09-30 13:06:00,UCI Online Retail,False,
C12695,France,2011-05-13 13:15:00,2011-12-02 13:22:00,UCI Online Retail,False,
C12697,Sweden,2011-06-23 15:44:00,2011-11-18 16:17:00,UCI Online Retail,False,
C12700,France,2011-05-08 16:10:00,2011-12-02 10:49:00,UCI Online Retail,False,
C12701,Germany,2011-04-11 13:02:00,2011-09-21 10:47:00,UCI Online Retail,False,
C12702,Germany,2011-11-20 10:36:00,2011-11-20 10:36:00,UCI Online Retail,False,
C12703,Germany,2011-09-29 17:52:00,2011-10-06 19:23:00,UCI Online Retail,False,
C12704,Finland,2011-06-23 10:20:00,2011-12-02 13:15:00,UCI Online Retail,False,
C12705,Germany,2010-12-17 15:58:00,2011-11-24 13:17:00,UCI Online Retail,False,
C12707,France,2011-02-21 08:38:00,2011-02-21 08:38:00,UCI Online Retail,False,
C12708,Germany,2010-12-06 10:43:00,2011-11-10 09:52:00,UCI Online Retail,False,
C12709,Germany,2010-12-08 09:49:00,2011-12-06 16:42:00,UCI Online Retail,False,
C12710,Germany,2011-05-22 14:05:00,2011-09-04 12:00:00,UCI Online Retail,False,
C12712,Germany,2010-12-03 14:30:00,2011-11-17 09:15:00,UCI Online Retail,False,
C12713,Germany,2011-12-09 12:16:00,2011-12-09 12:16:00,UCI Online Retail,False,
C12714,France,2011-02-18 10:53:00,2011-11-30 15:43:00,UCI Online Retail,False,
