product_id,product_name,median_unit_price,category,cost_ratio,standard_cost,source_system,is_simulated_category,is_simulated_cost,simulation_version
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,0.65,Other,0.4069,0.2645,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,2.46,Home Decor,0.4553,1.12,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2.46,Home Decor,0.4944,1.2162,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,2.46,Other,0.6163,1.5161,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,2.46,Home Decor,0.4888,1.2024,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,2.51,Home Decor,0.4653,1.1679,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2.46,Other,0.4966,1.2216,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17013D,ORIGAMI ROSE INCENSE IN TUBE,0.42,Other,0.4591,0.1928,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17014A,ORIGAMI VANILLA INCENSE CONES,0.42,Other,0.3921,0.1647,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17021,NAMASTE SWAGAT INCENSE,0.3,Other,0.4756,0.1427,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17028J,INCENSE BAZAAR PEACH,0.42,Other,0.6677,0.2804,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17038,PORCELAIN BUDAH INCENSE HOLDER,0.1,Other,0.5192,0.0519,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17084A,TRANQUILITY MASALA INCENSE,0.21,Other,0.5746,0.1207,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17084J,LOVE POTION MASALA INCENSE,0.21,Other,0.5488,0.1152,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17084N,FAIRY DREAMS INCENSE,0.42,Other,0.6286,0.264,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17084P,DRAGONS BLOOD INCENSE,0.42,Other,0.532,0.2234,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17084R,ASSORTED INCENSE PACK,0.21,Other,0.4486,0.0942,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17090A,LAVENDER INCENSE 40 CONES IN TIN,1.25,Other,0.3927,0.4909,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17090D,VANILLA INCENSE 40 CONES IN TIN,1.25,Other,0.4204,0.5255,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17091A,LAVENDER INCENSE IN TIN,0.38,Other,0.3931,0.1494,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17091J,VANILLA INCENSE IN TIN,0.38,Other,0.4681,0.1779,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.21,Other,0.5076,0.1066,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,Other,0.6594,1.6815,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17109D,FLOWER FAIRY INCENSE BOUQUET,0.38,Other,0.5301,0.2014,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17129F,BLUE GLASS GEMS IN BAG,1.63,Accessories,0.6469,1.0544,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17136A,BLUE STONES ON WIRE FOR CANDLE,0.08,Home Decor,0.6181,0.0494,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.42,Other,0.6056,0.2544,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1.05,Other,0.498,0.5229,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17174,ASSTD RASTA KEY-CHAINS,0.42,Other,0.4925,0.2068,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75,Home Decor,0.4024,1.509,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.18,Other,0.6551,0.1179,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
18094C,WHITE AND BLUE CERAMIC OIL BURNER,2.46,Other,0.5609,1.3798,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2.55,Other,0.434,1.1067,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.55,Other,0.4161,1.0611,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
18098C,PORCELAIN BUTTERFLY OIL BURNER,2.95,Other,0.3952,1.1658,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
18098c,PORCELAIN BUTTERFLY OIL BURNER,5.06,Other,0.5739,2.9039,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20615,BLUE POLKADOT PASSPORT COVER,2.1,Other,0.3896,0.8182,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20616,CHERRY BLOSSOM PASSPORT COVER,1.63,Other,0.4057,0.6613,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20617,FIRST CLASS PASSPORT COVER,2.1,Other,0.4875,1.0238,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20618,QUEEN OF THE SKIES PASSPORT COVER,1.66,Other,0.406,0.674,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20619,TROPICAL PASSPORT COVER,1.63,Other,0.4855,0.7914,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20622,VIPPASSPORT COVER,2.1,Other,0.5345,1.1224,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20652,BLUE POLKADOT LUGGAGE TAG,1.25,Other,0.4164,0.5205,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20653,CHERRY BLOSSOM LUGGAGE TAG,0.85,Other,0.6799,0.5779,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20654,FIRST CLASS LUGGAGE TAG,1.25,Other,0.5917,0.7396,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20655,QUEEN OF SKIES LUGGAGE TAG,1.25,Other,0.5099,0.6374,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20657,TROPICAL LUGGAGE TAG,1.25,Other,0.6397,0.7996,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20658,RED RETROSPOT LUGGAGE TAG,1.25,Other,0.4534,0.5668,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20659,ECONOMY LUGGAGE TAG,1.25,Other,0.5042,0.6302,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20661,BLUE POLKADOT PURSE,2.46,Accessories,0.4386,1.079,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20662,FIRST CLASS HOLIDAY PURSE,2.485,Accessories,0.509,1.2649,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20663,QUEEN OF THE SKIES HOLIDAY PURSE,2.485,Accessories,0.4882,1.2132,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20664,TROPICAL HOLIDAY PURSE,2.46,Accessories,0.4347,1.0694,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20665,RED RETROSPOT PURSE,2.95,Accessories,0.6079,1.7933,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20666,ECONOMY HOLIDAY PURSE,0.83,Accessories,0.4126,0.3425,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20667,CHERRY BLOSSOM PURSE,2.46,Accessories,0.5,1.23,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20668,DISCO BALL CHRISTMAS DECORATION,0.12,Gifts & Seasonal,0.5283,0.0634,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20669,RED HEART LUGGAGE TAG,1.25,Home Decor,0.4771,0.5964,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20670,VIP HOLIDAY PURSE,2.95,Accessories,0.6383,1.883,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20671,BLUE TEATIME PRINT BOWL,1.25,Kitchen & Dining,0.4101,0.5126,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20674,GREEN POLKADOT BOWL,1.25,Kitchen & Dining,0.679,0.8488,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20675,BLUE POLKADOT BOWL,1.25,Kitchen & Dining,0.6178,0.7722,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20676,RED RETROSPOT BOWL,1.25,Kitchen & Dining,0.4867,0.6084,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20677,PINK POLKADOT BOWL,1.25,Kitchen & Dining,0.5599,0.6999,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65,Other,0.4761,0.7856,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20679,EDWARDIAN PARASOL RED,5.95,Other,0.5598,3.3308,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20681,PINK POLKADOT CHILDRENS UMBRELLA,3.25,Accessories,0.55,1.7875,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20682,RED RETROSPOT CHILDRENS UMBRELLA,3.25,Accessories,0.4058,1.3188,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.25,Accessories,0.4081,1.3263,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20685,DOORMAT RED RETROSPOT,7.95,Other,0.4901,3.8963,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.25,Accessories,0.4686,1.523,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20694,FLORAL PINK MONSTER,3.75,Other,0.496,1.86,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20695,FLORAL BLUE MONSTER,4.25,Other,0.3989,1.6953,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20696,FLORAL SOFT CAR TOY,3.75,Other,0.3835,1.4381,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20697,LITTLE GREEN MONSTER SOFT TOY,2.55,Other,0.4719,1.2033,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20698,LITTLE PINK MONSTER SOFT TOY,2.55,Other,0.6116,1.5596,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20699,MOUSEY LONG LEGS SOFT TOY,2.51,Other,0.6439,1.6162,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20700,GREEN CAT FLORAL CUSHION COVER,4.13,Home Decor,0.4514,1.8643,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20701,PINK CAT FLORAL CUSHION COVER,4.13,Home Decor,0.4846,2.0014,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20702,PINK PADDED MOBILE,4.25,Other,0.6625,2.8156,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20703,BLUE PADDED SOFT MOBILE,4.25,Other,0.4846,2.0595,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20704,MR ROBOT SOFT TOY,6.95,Other,0.4392,3.0524,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20705,MRS ROBOT SOFT TOY,6.95,Other,0.5135,3.5688,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20707,CRAZY DAISY HEART DECORATION,0.83,Home Decor,0.3944,0.3274,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20711,JUMBO BAG TOYS,4.13,Accessories,0.589,2.4326,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20712,JUMBO BAG WOODLAND ANIMALS,2.08,Accessories,0.6308,1.3121,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20713,JUMBO BAG OWLS,2.08,Accessories,0.5738,1.1935,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20716,PARTY FOOD SHOPPER BAG,1.25,Accessories,0.672,0.84,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20717,STRAWBERRY SHOPPER BAG,1.25,Accessories,0.5578,0.6972,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20718,RED RETROSPOT SHOPPER BAG,1.25,Accessories,0.6646,0.8308,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20719,WOODLAND CHARLOTTE BAG,0.85,Accessories,0.4894,0.416,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20723,STRAWBERRY CHARLOTTE BAG,0.85,Accessories,0.5208,0.4427,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20724,RED RETROSPOT CHARLOTTE BAG,0.85,Accessories,0.6367,0.5412,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20725,LUNCH BAG RED RETROSPOT,1.65,Accessories,0.5366,0.8854,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20726,LUNCH BAG WOODLAND,1.65,Accessories,0.4745,0.7829,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20727,LUNCH BAG  BLACK SKULL.,1.65,Accessories,0.6707,1.1067,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20728,LUNCH BAG CARS BLUE,1.65,Accessories,0.4538,0.7488,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20731,POSY CANDY BAG,1.25,Accessories,0.5108,0.6385,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20733,GOLD MINI TAPE MEASURE,0.83,Other,0.4504,0.3738,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20734,SILVER MINI TAPE MEASURE,1.63,Other,0.3892,0.6344,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20735,BLACK MINI TAPE MEASURE,0.85,Other,0.6734,0.5724,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20748,KENSINGTON COFFEE SET,12.75,Other,0.4039,5.1497,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20749,ASSORTED COLOUR MINI CASES,7.95,Other,0.5555,4.4162,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20750,RED RETROSPOT MINI CASES,7.95,Other,0.4399,3.4972,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20751,FUNKY WASHING UP GLOVES ASSORTED,2.1,Other,0.4649,0.9763,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20752,BLUE POLKADOT WASHING UP GLOVES,2.1,Other,0.6657,1.398,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20754,RETROSPOT RED WASHING UP GLOVES,2.1,Other,0.4095,0.86,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
20755,BLUE PAISLEY POCKET BOOK,0.85,Other,0.404,0.3434,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
