customer_id,last_purchase,frequency,monetary,gross_margin,fulfilment_cost,recency_days,observed_historical_clv,r_score,f_score,m_score,rfm_segment
C12401,2011-12-07,13,890.816,426.34950000000003,40.45,3,385.89950000000005,5,3,2,Potential Loyalists
C12402,2011-12-09,10,723.1025,321.96459999999996,56.9,1,265.0646,5,2,1,Potential Loyalists
C12403,2011-10-21,9,883.8575000000001,442.77540000000005,59.1,50,383.6754,1,1,2,Lost
C12405,2011-10-29,11,2355.672,1172.3622,331.3,42,841.0622000000001,1,2,4,Lost
C12406,2011-11-26,12,6018.071,2551.1605,663.0,14,1888.1605,3,3,5,Other
C12407,2011-10-21,10,1958.914,847.4162,509.55,50,337.8662,1,2,4,Lost
C12408,2011-12-07,11,3173.0975,1385.717,512.0500000000001,3,873.667,5,2,5,Potential Loyalists
C12409,2011-11-13,8,11346.9455,4293.2259,1956.8,27,2336.4259,2,1,5,Other
C12410,2011-11-15,14,1178.501,620.6937,104.0,25,516.6937,2,4,3,At Risk
C12412,2011-11-11,9,1548.241,734.0866,306.05,29,428.03659999999996,2,1,3,Other
C12413,2011-10-18,12,1326.1825000000001,626.8151,122.3,53,504.5151,1,3,3,At Risk
C12414,2011-08-23,10,973.0455000000001,500.3806,126.0,109,374.3806,1,2,2,Lost
C12415,2011-12-09,31,125249.0455,48169.6748,27107.15,1,21062.5248,5,5,5,Champions
C12417,2011-12-06,16,4111.4975,1936.1728,564.95,4,1371.2228,5,4,5,Champions
C12418,2011-08-26,10,1109.318,532.3507,168.85,106,363.50069999999994,1,2,3,Lost
C12420,2011-11-19,5,889.8725,369.79699999999997,133.35,21,236.44699999999997,3,1,2,Other
C12421,2011-11-24,17,1722.0295,800.3093,210.20000000000002,16,590.1093,3,4,4,Loyal
C12422,2011-11-02,11,1164.6154999999999,544.8723,149.75,38,395.1223,2,2,3,Other
C12423,2011-12-09,17,2273.7219999999998,937.7748,493.85,1,443.9248,5,4,4,Champions
C12424,2011-11-28,14,2357.7505,1048.4068,301.0,12,747.4068,4,4,4,Champions
C12425,2011-12-09,12,1583.3715,764.0674,208.1,1,555.9674,5,3,4,Potential Loyalists
C12426,2011-11-06,11,1231.696,578.8523,119.10000000000001,34,459.7523,2,2,3,Other
C12427,2011-12-03,14,3028.609,1360.8374999999999,219.85,7,1140.9875,4,4,5,Champions
C12428,2011-11-22,24,9243.202,4888.7585,1288.0,18,3600.7585,3,5,5,Loyal
C12429,2011-11-30,12,4229.4845,1947.848,565.35,10,1382.498,4,3,5,Potential Loyalists
C12430,2011-10-27,12,889.834,434.3222,72.15,44,362.1722,1,3,2,At Risk
C12431,2011-12-05,33,7355.3525,3244.1372,1071.8,5,2172.3372,5,5,5,Champions
C12432,2011-11-23,15,5510.767,3003.7854,661.1,17,2342.6854000000003,3,4,5,Loyal
C12433,2011-12-09,13,13669.5005,6020.4532,3892.1,1,2128.3532,5,3,5,Potential Loyalists
C12434,2011-12-09,13,1280.486,652.8255,163.7,1,489.12550000000005,5,3,3,Potential Loyalists
C12435,2011-10-13,11,8156.0475,3055.8919,744.9,58,2310.9919,1,2,5,Lost
C12436,2011-11-27,8,967.3415,482.7325,93.8,13,388.9325,3,1,2,Other
C12437,2011-12-09,30,5509.9275,2521.0065,1055.8500000000001,1,1465.1564999999998,5,5,5,Champions
C12438,2011-11-25,13,3421.566,1669.8906,442.25,15,1227.6406,3,3,5,Other
C12441,2011-11-14,6,445.113,205.1278,60.8,26,144.32780000000002,2,1,1,Other
C12442,2011-12-06,14,1601.9945,719.7294999999999,102.7,4,617.0294999999999,5,4,4,Champions
C12444,2011-11-18,14,5430.141,2848.7821,428.0,22,2420.7821,3,4,5,Loyal
C12445,2011-11-17,12,766.1315,397.82140000000004,52.45,23,345.37140000000005,2,3,1,At Risk
C12446,2011-11-08,11,1669.502,748.064,146.25,32,601.814,2,2,4,Other
C12447,2011-10-31,8,859.005,396.253,87.05,40,309.203,2,1,2,Other
C12448,2011-12-01,11,1119.2155,556.9446,121.8,9,435.1446,4,2,3,Potential Loyalists
C12449,2011-11-17,13,4413.316,2038.4626,566.5,23,1471.9626,2,3,5,At Risk
C12450,2011-11-21,10,634.955,288.9731,68.8,19,220.17309999999998,3,2,1,Other
C12451,2011-11-29,15,9762.042,4299.5328,2330.05,11,1969.4827999999998,4,4,5,Champions
C12452,2011-11-23,13,1055.5215,512.4302,95.65,17,416.78020000000004,3,3,2,Other
C12453,2011-11-24,13,1254.6025,545.3426000000001,197.35,16,347.99260000000004,3,3,3,Other
C12454,2011-10-29,13,4116.482,662.3423,382.1,42,280.2423,1,3,5,At Risk
C12455,2011-12-08,15,2831.7805,1368.6738,751.5500000000001,2,617.1238,5,4,5,Champions
C12456,2011-11-01,9,3643.421,1796.8581,590.15,39,1206.7080999999998,2,1,5,Other
C12457,2011-10-04,14,2692.369,1235.6168,316.05,67,919.5668000000001,1,4,4,At Risk
C12458,2011-11-14,16,1639.392,802.7284999999999,219.4,26,583.3285,2,4,4,At Risk
C12461,2011-11-12,10,1056.1475,513.6849000000001,122.95,28,390.7349000000001,2,2,2,Other
C12462,2011-12-01,15,2076.8424999999997,1093.7639,227.35,9,866.4138999999999,4,4,4,Champions
C12463,2011-10-17,13,1941.435,880.3506,299.65,54,580.7006,1,3,4,At Risk
C12464,2011-11-29,20,1955.901,924.1344,71.15,11,852.9844,4,5,4,Champions
C12465,2011-11-28,14,1421.984,648.7781,202.45000000000002,12,446.32809999999995,4,4,3,Loyal
C12468,2011-12-05,14,1363.8655,642.9295,158.85,5,484.07949999999994,5,4,3,Loyal
C12471,2011-12-07,40,20170.7375,9168.3192,2901.8,3,6266.5192,5,5,5,Champions
C12472,2011-11-07,13,6796.8495,3081.0245,1470.4,33,1610.6245,2,3,5,At Risk
C12473,2011-12-08,13,4437.19,2598.4808,871.0,2,1727.4807999999998,5,3,5,Potential Loyalists
C12474,2011-12-07,27,7816.724,3598.037,1714.3500000000001,3,1883.6869999999997,5,5,5,Champions
C12475,2011-11-10,8,1187.9505,545.8805,209.75,30,336.1305,2,1,3,Other
C12476,2011-12-01,20,7286.613,3311.7941,868.15,9,2443.6441,4,5,5,Champions
C12477,2011-11-17,11,13480.16,5972.1377,1292.65,23,4679.4877,2,2,5,Other
C12478,2011-12-07,11,1198.8805,580.8154,109.60000000000001,3,471.21539999999993,5,2,3,Potential Loyalists
C12479,2011-12-09,7,798.582,390.6657,153.5,1,237.16570000000002,5,1,2,Other
C12480,2011-12-02,11,3643.838,1648.0116,615.75,8,1032.2616,4,2,5,Potential Loyalists
C12481,2011-12-09,24,6130.19,2765.8912,1189.35,1,1576.5412000000001,5,5,5,Champions
C12483,2011-11-22,18,2819.3055,1337.2615,415.95,18,921.3115,3,5,5,Loyal
C12484,2011-11-07,19,5540.668,2723.459,805.2,33,1918.2589999999998,2,5,5,At Risk
C12488,2011-12-04,12,1937.204,863.0001,211.55,6,651.4501,4,3,4,Potential Loyalists
C12489,2011-11-03,11,831.1685,389.06780000000003,67.5,37,321.56780000000003,2,2,2,Other
C12490,2011-12-04,20,5907.8405,2613.1283,1100.0,6,1513.1282999999999,4,5,5,Champions
C12491,2011-11-02,11,908.507,426.0433,116.2,38,309.8433,2,2,2,Other
C12492,2011-10-07,8,452.243,193.7767,83.1,64,110.67670000000001,1,1,1,Lost
C12493,2011-11-08,8,742.0675,282.8746,87.9,32,194.97459999999998,2,1,1,Other
C12494,2011-11-24,21,1745.1935,821.4176,287.65000000000003,16,533.7675999999999,3,5,4,Loyal
C12497,2011-09-19,9,1447.289,633.274,454.8,82,178.474,1,1,3,Lost
C12498,2011-11-18,8,537.2305,256.9039,65.7,22,191.20390000000003,3,1,1,Other
C12500,2011-11-25,21,4848.208,1978.4307,962.8,15,1015.6306999999999,3,5,5,Loyal
C12501,2011-08-30,7,2489.3415,1097.4865,639.95,102,457.53649999999993,1,1,4,Lost
C12502,2011-11-09,17,4395.7815,2345.2414,325.1,31,2020.1414,2,4,5,At Risk
C12503,2011-11-27,9,2873.764,1477.4956,28.05,13,1449.4456,3,1,5,Other
C12504,2011-11-26,9,931.953,409.5181,51.9,14,357.6181,3,1,2,Other
C12505,2011-10-28,6,411.0385,216.39129999999997,17.25,43,199.14129999999997,1,1,1,Lost
C12506,2011-12-06,12,676.9865,325.83930000000004,43.15,4,282.68930000000006,5,3,1,Potential Loyalists
C12507,2011-11-11,9,1819.0215,795.7109,329.25,29,466.46090000000004,2,1,4,Other
C12508,2011-11-28,11,922.9395,419.715,122.45,12,297.265,4,2,2,Potential Loyalists
C12509,2011-10-21,6,326.8925,153.3375,31.4,50,121.9375,1,1,1,Lost
C12510,2011-12-05,15,1677.283,762.3888000000001,161.65,5,600.7388000000001,5,4,4,Champions
C12512,2011-10-04,8,500.5525,229.1248,50.55,67,178.57479999999998,1,1,1,Lost
C12513,2011-12-06,8,998.8045,480.1607,182.1,4,298.0607,5,1,2,Other
C12514,2011-11-08,7,1275.8605,594.0565,172.3,32,421.7565,2,1,3,Other
C12515,2011-11-27,12,2831.6144999999997,1406.1050999999998,79.3,13,1326.8050999999998,3,3,5,Other
C12516,2011-12-01,10,2134.523,975.8996,326.05,9,649.8496,4,2,4,Potential Loyalists
C12517,2011-11-24,18,3089.6175,1435.8382,512.65,16,923.1881999999999,3,5,5,Loyal
C12518,2011-12-09,16,2608.571,1222.3454,496.1,1,726.2453999999999,5,4,4,Champions
C12519,2011-10-07,7,669.167,298.7379,80.0,64,218.73790000000002,1,1,1,Lost
C12520,2011-11-20,12,2971.882,1417.492,521.5,20,895.992,3,3,5,Other
C12521,2011-09-19,7,795.683,381.1892,125.25,82,255.93920000000003,1,1,2,Lost
C12522,2011-10-31,8,425.78700000000003,179.5328,83.8,40,95.73280000000001,2,1,1,Other
C12523,2011-11-20,19,2189.422,1011.928,324.5,20,687.428,3,5,4,Loyal
C12524,2011-11-30,17,4952.81,2057.2719,1318.95,10,738.3219000000001,4,4,5,Champions
C12526,2011-12-09,16,1929.808,923.0209,254.95000000000002,1,668.0708999999999,5,4,4,Champions
C12527,2011-09-21,11,641.487,306.3857,102.9,80,203.48569999999998,1,2,1,Lost
C12528,2011-12-05,18,2434.985,1138.8337999999999,304.2,5,834.6337999999998,5,5,4,Champions
C12530,2011-10-11,8,1859.2415,836.2105,330.5,60,505.7105,1,1,4,Lost
C12531,2011-11-25,10,719.0695,353.0354,45.6,15,307.43539999999996,3,2,1,Other
C12532,2011-11-09,5,588.3389999999999,291.15409999999997,66.60000000000001,31,224.55409999999995,2,1,1,Other
C12534,2011-12-03,14,1776.8705,849.3095,266.85,7,582.4594999999999,4,4,4,Champions
C12535,2011-11-19,10,1016.131,440.088,101.55,21,338.538,3,2,2,Other
C12536,2011-12-05,13,13168.683,10553.9367,1010.9,5,9543.0367,5,3,5,Potential Loyalists
C12538,2011-11-10,5,602.706,282.498,79.60000000000001,30,202.89799999999997,2,1,1,Other
C12539,2011-12-06,17,6218.849,2939.1237,762.9,4,2176.2237,5,4,5,Champions
C12540,2011-11-30,24,13747.773,6685.303,2362.55,10,4322.753,4,5,5,Champions
C12541,2011-11-30,20,4474.8925,2213.8673,284.95,10,1928.9172999999998,4,5,5,Champions
C12544,2011-11-29,10,863.186,428.2029,75.95,11,352.2529,4,2,2,Potential Loyalists
C12545,2011-10-26,13,1708.685,888.0997,221.15,45,666.9497,1,3,4,At Risk
C12546,2011-10-29,11,1842.5465,877.3604,249.75,42,627.6104,1,2,4,Lost
C12547,2011-10-06,10,612.253,278.7168,71.95,65,206.7668,1,2,1,Lost
C12548,2011-11-14,10,487.7555,244.3445,42.95,26,201.3945,2,2,1,Other
C12550,2011-09-21,8,1424.301,706.9085,215.5,80,491.4085,1,1,3,Lost
C12551,2011-07-02,5,258.5305,109.5062,44.45,161,65.0562,1,1,1,Lost
C12552,2011-11-01,11,1111.723,551.8229,61.55,39,490.2729,2,2,3,Other
C12553,2011-12-05,19,4350.4455,1980.5575000000001,713.1,5,1267.4575,5,5,5,Champions
C12556,2011-11-30,12,1185.6705,543.9167,151.85,10,392.06669999999997,4,3,3,Potential Loyalists
C12557,2011-11-23,7,12115.5,4881.1410000000005,1542.05,17,3339.0910000000003,3,1,5,Other
C12558,2011-12-02,10,781.808,369.0023,98.60000000000001,8,270.40229999999997,4,2,2,Potential Loyalists
C12559,2011-11-01,13,1106.28,502.9766,132.2,39,370.77660000000003,2,3,3,At Risk
C12560,2011-12-04,14,2631.218,1218.0184,419.4,6,798.6184,4,4,4,Champions
C12561,2011-12-02,12,773.0045,355.8666,91.05,8,264.8166,4,3,2,Potential Loyalists
C12562,2011-12-07,15,4274.1085,1857.5251,648.6,3,1208.9251,5,4,5,Champions
C12564,2011-11-16,9,853.3115,404.7262,69.5,24,335.2262,2,1,2,Other
C12565,2011-12-01,10,684.3185,298.428,57.400000000000006,9,241.028,4,2,1,Potential Loyalists
C12566,2011-11-11,10,963.8935,459.71049999999997,119.60000000000001,29,340.11049999999994,2,2,2,Other
C12567,2011-11-17,16,9885.289,4624.5895,1524.9,23,3099.6895,2,4,5,At Risk
C12569,2011-12-07,47,5153.9495,2314.1797,672.95,3,1641.2297,5,5,5,Champions
C12571,2011-12-08,18,1291.074,578.8580000000001,230.15,2,348.7080000000001,5,5,3,Loyal
C12572,2011-12-01,10,1238.9375,606.0105,175.75,9,430.2605,4,2,3,Potential Loyalists
C12573,2011-11-12,12,785.307,405.3094,61.8,28,343.50939999999997,2,3,2,At Risk
C12574,2011-12-04,11,972.8215,463.3804,52.85,6,410.5304,4,2,2,Potential Loyalists
C12576,2011-11-14,15,1870.8465,763.9272,367.7,26,396.2272,2,4,4,At Risk
C12577,2011-11-18,15,1195.415,564.6848,195.95,22,368.7348,3,4,3,Loyal
C12578,2011-11-18,13,3409.6725,1648.4629,454.90000000000003,22,1193.5629,3,3,5,Other
C12579,2011-09-30,7,714.125,317.1508,116.55,71,200.6008,1,1,1,Lost
C12580,2011-11-24,10,796.3205,359.5598,114.65,16,244.9098,3,2,2,Other
C12581,2011-11-25,11,703.036,333.8959,85.9,15,247.99589999999998,3,2,1,Other
C12582,2011-12-03,13,1028.6275,517.888,132.15,7,385.73800000000006,4,3,2,Potential Loyalists
C12583,2011-12-07,25,8088.431,3770.7855,1801.15,3,1969.6354999999999,5,5,5,Champions
C12584,2011-12-09,20,2931.337,1463.9554,183.4,1,1280.5554,5,5,5,Champions
C12585,2011-11-24,10,2265.061,1089.0024,467.45,16,621.5524,3,2,4,Other
C12586,2011-11-24,8,456.19,208.0078,46.1,16,161.9078,3,1,1,Other
C12587,2011-12-02,11,852.104,381.11039999999997,44.85,8,336.26039999999995,4,2,2,Potential Loyalists
C12588,2011-11-27,11,645.4905,318.6664,45.1,13,273.5664,3,2,1,Other
C12589,2011-11-21,16,1290.03,630.853,144.0,19,486.85299999999995,3,4,3,Loyal
C12590,2011-11-27,16,11671.725,4689.9755,1537.6,13,3152.3754999999996,3,4,5,Loyal
C12591,2011-11-09,13,1035.076,512.7573,107.7,31,405.0573,2,3,2,At Risk
C12592,2011-11-08,8,780.0595,360.3163,119.2,32,241.11630000000002,2,1,2,Other
C12593,2011-08-23,12,879.7315,351.9225,97.0,109,254.9225,1,3,2,At Risk
C12594,2011-11-24,17,3790.7309999999998,1645.4912,645.95,16,999.5411999999999,3,4,5,Loyal
C12596,2011-10-19,11,1421.4585,734.2951,193.65,52,540.6451000000001,1,2,3,Lost
C12597,2011-12-01,15,4286.6145,2010.3499,813.5,9,1196.8499,4,4,5,Champions
C12598,2011-11-30,16,3449.7375,1566.9029,707.95,10,858.9529,4,4,5,Champions
C12599,2011-11-21,13,1439.5045,674.4678,352.45,19,322.0178,3,3,3,Other
C12600,2011-11-11,20,2961.377,1435.9264,300.3,29,1135.6264,2,5,5,At Risk
C12601,2011-11-01,15,1244.387,557.9123999999999,112.9,39,445.01239999999996,2,4,3,At Risk
C12602,2011-12-08,8,486.8205,233.43460000000002,79.8,2,153.63460000000003,5,1,1,Other
C12603,2011-11-18,10,960.2245,418.20580000000007,45.0,22,373.20580000000007,3,2,2,Other
C12604,2011-11-12,15,842.074,389.1737,112.05,28,277.1237,2,4,2,At Risk
C12605,2011-12-09,16,923.59,441.51800000000003,40.35,1,401.168,5,4,2,Loyal
C12607,2011-10-10,6,1965.917,942.847,445.25,61,497.597,1,1,4,Lost
C12609,2011-12-09,16,1835.642,823.3396,267.3,1,556.0396000000001,5,4,4,Champions
C12610,2011-11-17,15,63567.33700000001,36959.743,391.90000000000003,23,36567.843,2,4,5,At Risk
C12611,2011-11-04,12,1895.2955,888.5454,331.95,36,556.5953999999999,2,3,4,At Risk
C12612,2011-09-26,9,1023.5805,469.4789,116.14999999999999,75,353.32890000000003,1,1,2,Lost
C12613,2011-12-01,14,3887.9915,1815.6954,607.95,9,1207.7454,4,4,5,Champions
C12614,2011-11-20,10,722.648,352.5707,49.4,20,303.1707,3,2,1,Other
C12615,2011-12-07,16,2905.442,1361.7841,517.45,3,844.3341,5,4,5,Champions
C12616,2011-10-19,17,1586.043,750.4551,142.0,52,608.4551,1,4,4,At Risk
C12617,2011-12-03,11,984.4375,441.4229,104.4,7,337.02290000000005,4,2,2,Potential Loyalists
C12618,2011-11-18,8,734.428,345.2411,55.2,22,290.04110000000003,3,1,1,Other
C12619,2011-11-23,19,4088.781,1949.6182999999999,1211.4,17,738.2182999999998,3,5,5,Loyal
C12620,2011-11-25,17,2180.2805,1047.2168,450.25,15,596.9667999999999,3,4,4,Loyal
C12621,2011-12-08,29,14532.5255,6216.6765,2637.0,2,3579.6764999999996,5,5,5,Champions
C12622,2011-12-07,10,677.4765,314.435,51.45,3,262.985,5,2,1,Potential Loyalists
C12623,2011-12-06,10,726.348,314.4261,96.85,4,217.57610000000003,5,2,1,Potential Loyalists
C12624,2011-11-20,9,1173.953,571.9512,145.55,20,426.40119999999996,3,1,3,Other
C12625,2011-11-16,9,3075.025,1353.877,582.65,24,771.227,2,1,5,Other
C12626,2011-11-27,18,7580.0265,3252.2819,1235.55,13,2016.7319,3,5,5,Loyal
C12627,2011-11-29,26,6085.15,2784.579,1018.7,11,1765.8790000000001,4,5,5,Champions
C12628,2011-12-05,11,1177.5265,578.4984000000001,183.8,5,394.69840000000005,5,2,3,Potential Loyalists
C12630,2011-11-30,13,1786.8654999999999,889.8484,222.55,10,667.2983999999999,4,3,4,Potential Loyalists
C12631,2011-11-24,8,1020.5145,525.2092,107.8,16,417.4092,3,1,2,Other
C12633,2011-10-12,11,2509.8985,1184.4387,426.2,59,758.2386999999999,1,2,4,Lost
C12635,2011-11-03,13,2150.158,1007.529,444.7,37,562.829,2,3,4,At Risk
C12637,2011-11-20,19,6443.074,3087.1901,1077.6,20,2009.5901,3,5,5,Loyal
C12638,2011-12-08,12,1126.733,530.5327,233.9,2,296.6327,5,3,3,Potential Loyalists
C12639,2011-12-07,16,1326.679,665.6556,115.5,3,550.1556,5,4,3,Loyal
C12640,2011-11-19,13,1548.871,734.4255,136.0,21,598.4255,3,3,3,Other
C12641,2011-10-11,7,356.394,184.0894,43.650000000000006,60,140.4394,1,1,1,Lost
C12642,2011-11-14,10,1393.778,685.9581,212.85,26,473.1080999999999,2,2,3,Other
C12643,2011-12-07,18,3900.126,1633.2196000000001,667.6,3,965.6196000000001,5,5,5,Champions
C12644,2011-12-08,6,815.5205,388.0797,126.35000000000001,2,261.7297,5,1,2,Other
C12645,2011-11-06,17,2679.3685,1254.7967,416.0,34,838.7967000000001,2,4,4,At Risk
C12646,2011-12-06,15,2092.422,1009.3952,352.2,4,657.1952000000001,5,4,4,Champions
C12647,2011-11-20,28,5044.913,2241.5359,551.4,20,1690.1358999999998,3,5,5,Loyal
C12648,2011-11-08,10,794.8605,364.6708,79.85,32,284.82079999999996,2,2,2,Other
C12649,2011-11-26,16,1169.312,568.5108,243.05,14,325.4608,3,4,3,Loyal
C12650,2011-12-06,9,665.471,215.0768,109.9,4,105.17679999999999,5,1,1,Other
C12651,2011-10-19,10,497.8285,232.4708,55.050000000000004,52,177.42079999999999,1,2,1,Lost
C12652,2011-11-16,12,1526.9645,649.7647,208.25,24,441.51469999999995,2,3,3,At Risk
C12653,2011-11-29,10,2546.941,1052.0167999999999,341.0,11,711.0167999999999,4,2,4,Potential Loyalists
C12654,2011-11-29,19,1250.4595,587.6496,132.75,11,454.89959999999996,4,5,3,Loyal
C12656,2011-11-24,16,4602.602,1994.8101,635.0,16,1359.8101,3,4,5,Loyal
C12657,2011-11-28,14,2184.172,1035.9,393.9,12,642.0000000000001,4,4,4,Champions
C12658,2011-11-21,11,1554.2485,759.6131,141.55,19,618.0631000000001,3,2,4,Other
C12659,2011-11-12,12,626.89,273.9724,69.9,28,204.0724,2,3,1,At Risk
C12660,2011-11-28,8,617.358,298.2328,68.0,12,230.2328,4,1,1,Other
C12662,2011-12-09,24,4578.789,2154.5033,754.05,1,1400.4533,5,5,5,Champions
C12664,2011-12-01,14,5102.7445,2495.4983,435.45,9,2060.0483000000004,4,4,5,Champions
C12665,2011-11-29,9,500.867,205.4273,39.2,11,166.2273,4,1,1,Other
C12666,2011-10-31,8,239.3715,105.51830000000001,23.25,40,82.26830000000001,2,1,1,Other
C12667,2011-11-14,11,1188.959,584.2758,166.75,26,417.5258,2,2,3,Other
C12668,2011-11-28,18,4531.857,1965.1476,610.45,12,1354.6976,4,5,5,Champions
C12669,2011-07-12,6,2838.0744999999997,1946.397,400.45,151,1545.947,1,1,5,Lost
C12670,2011-11-29,17,3585.6835,1661.7654,523.6,11,1138.1653999999999,4,4,5,Champions
C12672,2011-08-28,4,364.694,167.38400000000001,36.9,104,130.484,1,1,1,Lost
C12673,2011-12-07,11,1071.8205,489.26030000000003,151.95,3,337.31030000000004,5,2,2,Potential Loyalists
C12674,2011-11-25,18,2730.7165,1249.9924,439.15000000000003,15,810.8424,3,5,4,Loyal
C12676,2011-11-15,12,1615.7135,865.0807,250.70000000000002,25,614.3806999999999,2,3,4,At Risk
C12678,2011-10-28,26,18363.261,7734.3801,3860.55,43,3873.8301,1,5,5,At Risk
C12679,2011-10-12,13,1668.844,737.7498,219.85,59,517.8998,1,3,4,At Risk
C12680,2011-12-09,14,1260.3005,608.059,186.85,1,421.20899999999995,5,4,3,Loyal
C12681,2011-11-25,30,14223.8395,6418.8598,2660.4,15,3758.4598,3,5,5,Loyal
C12682,2011-12-09,40,12879.932,5590.8517,1968.8500000000001,1,3622.0017,5,5,5,Champions
C12683,2011-12-06,30,9466.245499999999,4259.1527,1792.55,4,2466.6026999999995,5,5,5,Champions
C12684,2011-12-02,15,2828.4775,1348.7974,719.35,8,629.4473999999999,4,4,5,Champions
C12685,2011-11-11,13,3246.6335,1502.098,554.95,29,947.1479999999999,2,3,5,At Risk
C12686,2011-11-26,12,685.0005,333.9301,69.7,14,264.2301,3,3,1,Other
C12688,2011-08-18,11,5302.528,2395.2776,1086.05,114,1309.2276,1,2,5,Lost
C12689,2011-11-14,17,2335.52,1080.1966,261.65,26,818.5466,2,4,4,At Risk
C12690,2011-11-20,8,1352.2704999999999,677.6486,53.15,20,624.4986,3,1,3,Other
C12691,2011-12-05,17,1727.4955,849.8454,170.75,5,679.0954,5,4,4,Champions
C12693,2011-10-16,12,1379.3515,675.1605,118.95,55,556.2104999999999,1,3,3,At Risk
C12694,2011-12-01,10,1340.4075,620.9008,198.4,9,422.5008,4,2,3,Potential Loyalists
C12695,2011-12-02,12,784.885,377.73900000000003,97.55,8,280.189,4,3,2,Potential Loyalists
C12697,2011-11-11,11,1407.489,705.0617,202.25,29,502.8117,2,2,3,Other
